ID	drugs	transporters	targets	enzymes	carriers	groups
DB00001	Lepirudin		F2			approved
DB00002	Cetuximab		FCGR2B;EGFR;FCGR2C;C1QC;C1QB;C1QA;FCGR3B;FCGR1A;C1S;C1R;FCGR3A;FCGR2A			approved
DB00003	Dornase alfa					approved
DB00004	Denileukin diftitox		IL2RA;IL2RB;IL2RG			investigational;approved
DB00005	Etanercept		C1QC;TNFRSF1B;FCGR2B;FCGR3A;FCGR2C;C1QA;FCGR2A;LTA;TNF;FCGR1A;C1S;C1R;FCGR3B;C1QB	PTGS2		investigational;approved
DB00006	Bivalirudin		F2	MPO		investigational;approved
DB00007	Leuprolide		GNRHR			investigational;approved
DB00008	Peginterferon alfa-2a		IFNAR2;IFNAR1	CYP1A2		investigational;approved
DB00009	Alteplase		PLG;PLAUR;FGA;SERPINE1			approved
DB00010	Sermorelin		GHRHR			approved;withdrawn
DB00011	Interferon alfa-n1		IFNAR2;IFNAR1			investigational;approved
DB00012	Darbepoetin alfa		EPOR			investigational;approved
DB00013	Urokinase		LRP2;SERPINA5;PLAUR;NID1;PLAU;PLAT;PLG;ST14;SERPINB2;SERPINE1			investigational;approved;withdrawn
DB00014	Goserelin		LHCGR;GNRHR			approved
DB00015	Reteplase		PLG;PLAUR;FGA;SERPINE1			investigational;approved
DB00016	Erythropoietin		EPOR			approved
DB00017	Salmon Calcitonin		CALCR			investigational;approved
DB00018	Interferon alfa-n3		IFNAR2;IFNAR1			investigational;approved
DB00019	Pegfilgrastim		ELANE;CSF3R			approved
DB00020	Sargramostim		CSF2RB;SDC2;CSF2RA;IL3RA;PRG2			investigational;approved
DB00021	Secretin		SCTR			investigational;approved
DB00022	Peginterferon alfa-2b		IFNAR2;IFNAR1	CYP1A2;CYP2D6		approved
DB00023	Asparaginase Escherichia coli					investigational;approved
DB00024	Thyrotropin Alfa		TSHR			approved;vet_approved
DB00025	Antihemophilic factor, human recombinant		LRP1;HSPA5;F9;CALR;ASGR2;LMAN1;MCFD2;F10;VWF;CANX;PHYH	F2;PROC		investigational;approved
DB00026	Anakinra		IL1R1			approved
DB00027	Gramicidin D	ABCB1				approved
DB00028	Immune Globulin Human		C4B;FCGR2B;FCGR3A;FCGR2C;FCGR2A;FCGR1B;FCGR1A;C3;FCGR3B;C5;C4A			investigational;approved
DB00029	Anistreplase		PLG;PLAUR;FGA;SERPINE1			approved
DB00030	Insulin Human		LRP2;SYTL4;IGF1R;PCSK2;PCSK1;CTSD;CPE;RB1;INSR;IGFBP7;NOV;IDE	CYP1A2		investigational;approved
DB00031	Tenecteplase		KRT8;CLEC3B;PLAUR;CALR;LRP1;SERPINE1;PLG;ANXA2;SERPINB2;FGA;CANX			approved
DB00032	Menotropins		LHCGR;FSHR			approved
