id,list_genes1,list_genes2,subtype,pathway
1,hsa:130589,hsa:3098 hsa:3099 hsa:3101 hsa:80201,compound irreversible,hsa00010
2,hsa:130589,hsa:2645,compound irreversible,hsa00010
3,hsa:130589,hsa:2538 hsa:57818 hsa:92579,compound irreversible,hsa00010
4,hsa:2645,hsa:130589,compound irreversible,hsa00010
5,hsa:3098 hsa:3099 hsa:3101 hsa:80201,hsa:130589,compound irreversible,hsa00010
6,hsa:2821,hsa:2645,compound irreversible,hsa00010
7,hsa:2821,hsa:3098 hsa:3099 hsa:3101 hsa:80201,compound irreversible,hsa00010
8,hsa:2821,hsa:2538 hsa:57818 hsa:92579,compound irreversible,hsa00010
9,hsa:2821,hsa:2538 hsa:57818 hsa:92579,compound irreversible,hsa00010
10,hsa:5236 hsa:55276,hsa:2538 hsa:57818 hsa:92579,compound irreversible,hsa00010
11,hsa:2821,hsa:3098 hsa:3099 hsa:3101 hsa:80201,compound irreversible,hsa00010
12,hsa:2821,hsa:2645,compound irreversible,hsa00010
13,hsa:2821,hsa:5236 hsa:55276,compound irreversible,hsa00010
14,hsa:2821,hsa:3098 hsa:3099 hsa:3101 hsa:80201,compound irreversible,hsa00010
15,hsa:5236 hsa:55276,hsa:3098 hsa:3099 hsa:3101 hsa:80201,compound irreversible,hsa00010
16,hsa:2821,hsa:2645,compound irreversible,hsa00010
17,hsa:5236 hsa:55276,hsa:2645,compound irreversible,hsa00010
18,hsa:5236 hsa:55276,hsa:2821,compound irreversible,hsa00010
19,hsa:2203 hsa:8789,hsa:2821,compound irreversible,hsa00010
20,hsa:5211 hsa:5213 hsa:5214,hsa:2821,compound irreversible,hsa00010
21,hsa:226 hsa:229 hsa:230,hsa:2203 hsa:8789,compound irreversible,hsa00010
22,hsa:226 hsa:229 hsa:230,hsa:5211 hsa:5213 hsa:5214,compound irreversible,hsa00010
23,hsa:7167,hsa:226 hsa:229 hsa:230,compound irreversible,hsa00010
24,hsa:2597 hsa:26330,hsa:5230 hsa:5232,compound irreversible,hsa00010
25,hsa:441531 hsa:5223 hsa:5224 hsa:669,hsa:5230 hsa:5232,compound irreversible,hsa00010
26,hsa:2023 hsa:2026 hsa:2027 hsa:387712,hsa:441531 hsa:5223 hsa:5224 hsa:669,compound irreversible,hsa00010
27,hsa:5160 hsa:5161 hsa:5162,hsa:1737,compound irreversible,hsa00010
28,hsa:5160 hsa:5161 hsa:5162,hsa:1738,compound irreversible,hsa00010
29,hsa:1737,hsa:1738,compound irreversible,hsa00010
30,hsa:217 hsa:219 hsa:223 hsa:224 hsa:501,hsa:124 hsa:125 hsa:126 hsa:127 hsa:128 hsa:130 hsa:131,compound reversible,hsa00010
31,hsa:218 hsa:220 hsa:221 hsa:222,hsa:124 hsa:125 hsa:126 hsa:127 hsa:128 hsa:130 hsa:131,compound reversible,hsa00010
32,hsa:217 hsa:219 hsa:223 hsa:224 hsa:501,hsa:10327,compound reversible,hsa00010
33,hsa:218 hsa:220 hsa:221 hsa:222,hsa:10327,compound reversible,hsa00010
34,hsa:5313 hsa:5315,hsa:2023 hsa:2026 hsa:2027 hsa:387712,compound irreversible,hsa00010
35,hsa:2203 hsa:8789,hsa:2821,compound irreversible,hsa00010
36,hsa:5211 hsa:5213 hsa:5214,hsa:2821,compound irreversible,hsa00010
37,hsa:160287 hsa:3939 hsa:3945 hsa:3948 hsa:92483,hsa:5313 hsa:5315,compound irreversible,hsa00010
38,hsa:5160 hsa:5161 hsa:5162,hsa:5313 hsa:5315,compound irreversible,hsa00010
39,hsa:5160 hsa:5161 hsa:5162,hsa:160287 hsa:3939 hsa:3945 hsa:3948 hsa:92483,compound irreversible,hsa00010
40,hsa:2645,hsa:2821,compound irreversible,hsa00010
41,hsa:3098 hsa:3099 hsa:3101 hsa:80201,hsa:2821,compound irreversible,hsa00010
42,hsa:5230 hsa:5232,hsa:669,compound irreversible,hsa00010
43,hsa:2597 hsa:26330,hsa:669,compound irreversible,hsa00010
44,hsa:669,hsa:5230 hsa:5232,compound irreversible,hsa00010
45,hsa:669,hsa:441531 hsa:5223 hsa:5224 hsa:669,compound irreversible,hsa00010
46,hsa:5105 hsa:5106,hsa:2023 hsa:2026 hsa:2027 hsa:387712,compound irreversible,hsa00010
47,hsa:5105 hsa:5106,hsa:5313 hsa:5315,compound irreversible,hsa00010
48,hsa:7167,hsa:2597 hsa:26330,compound irreversible,hsa00010
49,hsa:226 hsa:229 hsa:230,hsa:7167,compound irreversible,hsa00010
50,hsa:226 hsa:229 hsa:230,hsa:2597 hsa:26330,compound irreversible,hsa00010
51,hsa:669,hsa:669,compound irreversible,hsa00010
52,hsa:55902 hsa:84532,hsa:217 hsa:219 hsa:223 hsa:224 hsa:501,compound irreversible,hsa00010
53,hsa:55902 hsa:84532,hsa:218 hsa:220 hsa:221 hsa:222,compound irreversible,hsa00010
54,hsa:55902 hsa:84532,hsa:1737,compound irreversible,hsa00010
55,hsa:83440,hsa:2821,compound irreversible,hsa00010
56,hsa:83440,hsa:2821,compound irreversible,hsa00010
57,hsa:130589,hsa:83440,compound irreversible,hsa00010
58,hsa:130589,hsa:83440,compound irreversible,hsa00010
59,hsa:83440,hsa:2821,compound irreversible,hsa00010
60,hsa:83440,hsa:2821,compound irreversible,hsa00010
61,hsa:83440,hsa:5236 hsa:55276,compound irreversible,hsa00010
62,hsa:669,hsa:9562,compound irreversible,hsa00010
63,hsa:669,hsa:9562,compound irreversible,hsa00010
64,hsa:441531 hsa:5223 hsa:5224 hsa:669,hsa:9562,compound irreversible,hsa00010
65,hsa:9562,hsa:2023 hsa:2026 hsa:2027 hsa:387712,compound irreversible,hsa00010
66,hsa:5160 hsa:5161 hsa:5162,hsa:5091,compound irreversible,hsa00020
67,hsa:1737,hsa:1431,compound irreversible,hsa00020
68,hsa:1737,hsa:47,compound irreversible,hsa00020
69,hsa:4190 hsa:4191,hsa:47,compound irreversible,hsa00020
70,hsa:4190 hsa:4191,hsa:1431,compound irreversible,hsa00020
71,hsa:4190 hsa:4191,hsa:5091,compound irreversible,hsa00020
72,hsa:4190 hsa:4191,hsa:5105 hsa:5106,compound irreversible,hsa00020
73,hsa:47,hsa:5091,compound irreversible,hsa00020
74,hsa:47,hsa:5105 hsa:5106,compound irreversible,hsa00020
75,hsa:1431,hsa:5091,compound irreversible,hsa00020
76,hsa:1431,hsa:5105 hsa:5106,compound irreversible,hsa00020
77,hsa:5091,hsa:5105 hsa:5106,compound irreversible,hsa00020
78,hsa:4190 hsa:4191,hsa:2271,compound irreversible,hsa00020
79,hsa:2271,hsa:6389 hsa:6390 hsa:6391 hsa:6392,compound irreversible,hsa00020
80,hsa:6389 hsa:6390 hsa:6391 hsa:6392,hsa:8801 hsa:8802 hsa:8803,compound irreversible,hsa00020
81,hsa:6389 hsa:6390 hsa:6391 hsa:6392,hsa:8801 hsa:8802 hsa:8803,compound irreversible,hsa00020
82,hsa:8801 hsa:8802 hsa:8803,hsa:1743,compound irreversible,hsa00020
83,hsa:8801 hsa:8802 hsa:8803,hsa:1743,compound irreversible,hsa00020
84,hsa:1743,hsa:4967 hsa:55753,compound irreversible,hsa00020
85,hsa:1743,hsa:1738,compound irreversible,hsa00020
86,hsa:1738,hsa:4967 hsa:55753,compound irreversible,hsa00020
