"","pathway1","pathway2","subtype"
"2","hsa00020","hsa00010","map"
"3","hsa00030","hsa00010","map"
"5","hsa00040","hsa00010","map"
"6","hsa00051","hsa00010","map"
"8","hsa00052","hsa00010","map"
"9","hsa00072","hsa00010","map"
"10","hsa00250","hsa00010","map"
"11","hsa00260","hsa00010","map"
"12","hsa00360","hsa00010","map"
"13","hsa00380","hsa00010","map"
"14","hsa00400","hsa00010","map"
"15","hsa00440","hsa00010","map"
"16","hsa00500","hsa00010","map"
"17","hsa00520","hsa00010","map"
"20","hsa00561","hsa00010","map"
"22","hsa00562","hsa00010","map"
"23","hsa00564","hsa00010","map"
"24","hsa00620","hsa00010","map"
"25","hsa00630","hsa00010","map"
"26","hsa00640","hsa00010","map"
"28","hsa00650","hsa00010","map"
"29","hsa00730","hsa00010","map"
"30","hsa00750","hsa00010","map"
"31","hsa00770","hsa00010","map"
"32","hsa00900","hsa00010","map"
"33","hsa04068","hsa00010","map"
"35","hsa04151","hsa00010","map"
"36","hsa04152","hsa00010","map"
"37","hsa04910","hsa00010","map"
"38","hsa04919","hsa00010","map"
"39","hsa04922","hsa00010","map"
"40","hsa04964","hsa00010","map"
"43","hsa00040","hsa00020","map"
"44","hsa00053","hsa00020","map"
"45","hsa00061","hsa00020","map"
"46","hsa00071","hsa00020","map"
"47","hsa00220","hsa00020","map"
"49","hsa00250","hsa00020","map"
"50","hsa00260","hsa00020","map"
"51","hsa00280","hsa00020","map"
"52","hsa00310","hsa00020","map"
"54","hsa00330","hsa00020","map"
"55","hsa00350","hsa00020","map"
"56","hsa00360","hsa00020","map"
"58","hsa00471","hsa00020","map"
"59","hsa00562","hsa00020","map"
"60","hsa00620","hsa00020","map"
"61","hsa00630","hsa00020","map"
"63","hsa00640","hsa00020","map"
"64","hsa00650","hsa00020","map"
"65","hsa00760","hsa00020","map"
"66","hsa04066","hsa00020","map"
"67","hsa04068","hsa00020","map"
"68","hsa04714","hsa00020","map"
"69","hsa04724","hsa00020","map"
"70","hsa04727","hsa00020","map"
"71","hsa04911","hsa00020","map"
"72","hsa04922","hsa00020","map"
"73","hsa04964","hsa00020","map"
"76","hsa00040","hsa00030","map"
"78","hsa00052","hsa00030","map"
"79","hsa00230","hsa00030","map"
"80","hsa00240","hsa00030","map"
"81","hsa00340","hsa00030","map"
"82","hsa00400","hsa00030","map"
"83","hsa00440","hsa00030","map"
"84","hsa00740","hsa00030","map"
"85","hsa00750","hsa00030","map"
"90","hsa00052","hsa00040","map"
"91","hsa00053","hsa00040","map"
"94","hsa00330","hsa00040","map"
"95","hsa00520","hsa00040","map"
"98","hsa00562","hsa00040","map"
"100","hsa00740","hsa00040","map"
"102","hsa00052","hsa00051","map"
"103","hsa00053","hsa00051","map"
"104","hsa00510","hsa00051","map"
"105","hsa00520","hsa00051","map"
"113","hsa00520","hsa00052","map"
"117","hsa00330","hsa00053","map"
"118","hsa00520","hsa00053","map"
"120","hsa00630","hsa00053","map"
"123","hsa00071","hsa00061","map"
"124","hsa00410","hsa00061","map"
"125","hsa00620","hsa00061","map"
"126","hsa00780","hsa00061","map"
"128","hsa00785","hsa00061","map"
"129","hsa04152","hsa00061","map"
"130","hsa04910","hsa00061","map"
"131","hsa04922","hsa00061","map"
"132","hsa00020","hsa00062","map"
"133","hsa00061","hsa00062","map"
"135","hsa00071","hsa00062","map"
