Gene,Gene ID,drugs,ID,ADME
A1BG,1,Zinc,DB01593,
A2M,2,"Cisplatin,Zinc","DB00515,DB01593",
AADAT,51166,Pyridoxal Phosphate,DB00114,
AANAT,15,Cannabidiol,DB09061,True
AASS,10157,NADH,DB00157,
AAVS1,17,Citric Acid,DB04272,
ABAT,18,"Pyridoxal Phosphate,Valproic Acid","DB00114,DB00313",
ABCA1,19,Glyburide,DB01016,
ABCA3,21,Imatinib,DB00619,True
ABCA5,23461,Tacrolimus,DB00864,True
ABCB1,5243,"Cyclosporine,Pravastatin,Fluvoxamine,Fluconazole,Erythromycin,Caffeine,Reserpine,Azithromycin,Pantoprazole,Citalopram,Eletriptan,Nelfinavir,Indinavir,Lovastatin,Reboxetine,Phenytoin,Diethylstilbestrol,Clotrimazole,Metoprolol,Amsacrine,Liothyronine,Lidocaine,Venlafaxine,Conjugated estrogens,Morphine,Acetaminophen,Gefitinib,Dihydroergotamine,Amitriptyline,Indomethacin,Methadone,Olanzapine,Atenolol,Omeprazole,Terfenadine,Diltiazem,Protriptyline,Clobazam,Megestrol acetate,Mefloquine,Vinorelbine,Clozapine,Grepafloxacin,Meprobamate,Timolol,Amlodipine,Digoxin,Progesterone,Sorafenib,Nisoldipine,Spironolactone,Streptozocin,Cerivastatin,Trimethoprim,Gemcitabine,Betamethasone,Lansoprazole,Levothyroxine,Loratadine,Prazosin,Imipramine,Quinine,Dronabinol,Fluoxetine,Chlorpromazine,Lenalidomide,Buspirone,Zidovudine,Cimetidine,Haloperidol,Ritonavir,Triflupromazine,Dextromethorphan,Cisplatin,Albendazole,Caspofungin,Alitretinoin,Erlotinib,Cyclophosphamide,Ciprofloxacin,Toremifene,Vincristine,Lamotrigine,Methotrexate,Carbamazepine,Vinblastine,Propranolol,Clonidine,Enalapril,Nizatidine,Diclofenac,Doxazosin,Ivermectin,Chloroquine,Imatinib,Nicardipine,Fluphenazine,Testosterone,Prednisone,Astemizole,Simvastatin,Mebendazole,Estrone,Trazodone,Verapamil,Sumatriptan,Chlorpropamide,Tamoxifen,Losartan,Midazolam,Mycophenolate mofetil,Flurazepam,Daunorubicin,Ergotamine,Amprenavir,Naltrexone,Lamivudine,Paroxetine,Norethisterone,Trimipramine,Hydrocortisone,Scopolamine,Epinastine,Clopidogrel,Irinotecan,Etoposide,Roxithromycin,Estradiol,Perindopril,Candesartan cilexetil,Alfentanil,Biperiden,Fentanyl,Diazepam,Trifluoperazine,Mifepristone,Loperamide,Clofazimine,Prednisolone,Ranitidine,Tacrolimus,Flupentixol,Sirolimus,Clomifene,Quinidine,Amantadine,Buprenorphine,Maprotiline,Salicylic acid,Acetylsalicylic acid,Fexofenadine,Methylprednisolone,Telmisartan,Desloratadine,Dactinomycin,Azelastine,Ezetimibe,Dipyridamole,Ethinyl Estradiol,Doxorubicin,Glyburide,Felodipine,Ketoconazole,Topotecan,Probenecid,Selegiline,Rifampicin,Ibuprofen,Nitrendipine,Promethazine,Atazanavir,Atorvastatin,Benzocaine,Pimozide,Quinacrine,Sertraline,Miconazole,Nifedipine,Amiodarone,Carvedilol,Levofloxacin,Sulfinpyrazone,Doxepin,Nefazodone,Desipramine,Terazosin,Itraconazole,Arsenic trioxide,Phenobarbital,Propafenone,Naloxone,Domperidone,Acebutolol,Estramustine,Captopril,Bromocriptine,Levetiracetam,Nadolol,Mitoxantrone,Sparfloxacin,Clarithromycin,Ketamine,Quetiapine,Paclitaxel,Saquinavir,Dexamethasone,Chlorprothixene,Clomipramine,Bepridil,Docetaxel,Ergonovine,Dasatinib,Lapatinib,Sitagliptin,Posaconazole,Sunitinib,Vecuronium,Cilazapril,Colchicine,Digitoxin,Neostigmine,Testosterone propionate,Liotrix,Ketazolam,Nitrazepam,Lopinavir,Cholic Acid,Palmitic Acid,Cholesterol,Estriol,Debrisoquin,Dronedarone,Nilotinib,Belinostat,Indacaterol,Cobimetinib,Telaprevir,Trastuzumab emtansine,Inotuzumab ozogamicin,Romidepsin,Silodosin,Tolvaptan,Rivaroxaban,Temsirolimus,Dapagliflozin,Ambrisentan,Etravirine,Pazopanib,Panobinostat,Apixaban,Bosutinib,Axitinib,Dabigatran etexilate,Fesoterodine,Cabazitaxel,Ticagrelor,Ivacaftor,Lomitapide,Vismodegib,Pitavastatin,Rilpivirine,Crizotinib,Ulipristal,Boceprevir,Fidaxomicin,Linagliptin,Carfilzomib,Mirabegron,Regorafenib,Enzalutamide,Ponatinib,Fluticasone furoate,Canagliflozin,Pomalidomide,Dabrafenib,Afatinib,Levomilnacipran,Dolutegravir,Sofosbuvir,Ledipasvir,Ceritinib,Edoxaban,Umeclidinium,Lenvatinib,Nintedanib,Lobeglitazone,Benidipine,Ubidecarenone,Lumacaftor,Ombitasvir,Osimertinib,Glycerin,Selexipag,Alectinib,Grazoprevir,Venetoclax,Isavuconazole,Baricitinib,Ertugliflozin,Apalutamide,Abemaciclib,Voxilaprevir,Letermovir,Rucaparib,Betrixaban,Copanlisib,Fluciclovine (18F),Troleandomycin,Enasidenib,Testosterone cypionate,Testosterone enanthate,Testosterone undecanoate,Estradiol acetate,Estradiol benzoate,Estradiol cypionate,Estradiol dienanthate,Estradiol valerate","DB00091,DB00175,DB00176,DB00196,DB00199,DB00201,DB00206,DB00207,DB00213,DB00215,DB00216,DB00220,DB00224,DB00227,DB00234,DB00252,DB00255,DB00257,DB00264,DB00276,DB00279,DB00281,DB00285,DB00286,DB00295,DB00316,DB00317,DB00320,DB00321,DB00328,DB00333,DB00334,DB00335,DB00338,DB00342,DB00343,DB00344,DB00349,DB00351,DB00358,DB00361,DB00363,DB00365,DB00371,DB00373,DB00381,DB00390,DB00396,DB00398,DB00401,DB00421,DB00428,DB00439,DB00440,DB00441,DB00443,DB00448,DB00451,DB00455,DB00457,DB00458,DB00468,DB00470,DB00472,DB00477,DB00480,DB00490,DB00495,DB00501,DB00502,DB00503,DB00508,DB00514,DB00515,DB00518,DB00520,DB00523,DB00530,DB00531,DB00537,DB00539,DB00541,DB00555,DB00563,DB00564,DB00570,DB00571,DB00575,DB00584,DB00585,DB00586,DB00590,DB00602,DB00608,DB00619,DB00622,DB00623,DB00624,DB00635,DB00637,DB00641,DB00643,DB00655,DB00656,DB00661,DB00669,DB00672,DB00675,DB00678,DB00683,DB00688,DB00690,DB00694,DB00696,DB00701,DB00704,DB00709,DB00715,DB00717,DB00726,DB00741,DB00747,DB00751,DB00758,DB00762,DB00773,DB00778,DB00783,DB00790,DB00796,DB00802,DB00810,DB00813,DB00829,DB00831,DB00834,DB00836,DB00845,DB00860,DB00863,DB00864,DB00875,DB00877,DB00882,DB00908,DB00915,DB00921,DB00934,DB00936,DB00945,DB00950,DB00959,DB00966,DB00967,DB00970,DB00972,DB00973,DB00975,DB00977,DB00997,DB01016,DB01023,DB01026,DB01030,DB01032,DB01037,DB01045,DB01050,DB01054,DB01069,DB01072,DB01076,DB01086,DB01100,DB01103,DB01104,DB01110,DB01115,DB01118,DB01136,DB01137,DB01138,DB01142,DB01149,DB01151,DB01162,DB01167,DB01169,DB01174,DB01182,DB01183,DB01184,DB01193,DB01196,DB01197,DB01200,DB01202,DB01203,DB01204,DB01208,DB01211,DB01221,DB01224,DB01229,DB01232,DB01234,DB01239,DB01242,DB01244,DB01248,DB01253,DB01254,DB01259,DB01261,DB01263,DB01268,DB01339,DB01340,DB01394,DB01396,DB01400,DB01420,DB01583,DB01587,DB01595,DB01601,DB02659,DB03796,DB04540,DB04573,DB04840,DB04855,DB04868,DB05015,DB05039,DB05239,DB05521,DB05773,DB05889,DB06176,DB06207,DB06212,DB06228,DB06287,DB06292,DB06403,DB06414,DB06589,DB06603,DB06605,DB06616,DB06626,DB06695,DB06702,DB06772,DB08816,DB08820,DB08827,DB08828,DB08860,DB08864,DB08865,DB08867,DB08873,DB08874,DB08882,DB08889,DB08893,DB08896,DB08899,DB08901,DB08906,DB08907,DB08910,DB08912,DB08916,DB08918,DB08930,DB08934,DB09027,DB09063,DB09075,DB09076,DB09078,DB09079,DB09198,DB09231,DB09270,DB09280,DB09296,DB09330,DB09462,DB11362,DB11363,DB11575,DB11581,DB11633,DB11817,DB11827,DB11901,DB12001,DB12026,DB12070,DB12332,DB12364,DB12483,DB13146,DB13179,DB13874,DB13943,DB13944,DB13946,DB13952,DB13953,DB13954,DB13955,DB13956",True
ABCB11,8647,"Cyclosporine,Pravastatin,Reserpine,Digoxin,Progesterone,Chlorpromazine,Cimetidine,Vincristine,Bosentan,Vinblastine,Verapamil,Tamoxifen,Daunorubicin,Clofazimine,Quinidine,Ethinyl Estradiol,Doxorubicin,Glyburide,Ketoconazole,Rifampicin,Novobiocin,Rosuvastatin,Phenobarbital,Paclitaxel,Dexamethasone,Ursodeoxycholic acid,Cholic Acid,Deoxycholic Acid,Ponatinib,Letermovir","DB00091,DB00175,DB00206,DB00390,DB00396,DB00477,DB00501,DB00541,DB00559,DB00570,DB00661,DB00675,DB00694,DB00845,DB00908,DB00977,DB00997,DB01016,DB01026,DB01045,DB01051,DB01098,DB01174,DB01229,DB01234,DB01586,DB02659,DB03619,DB08901,DB12070",True
ABCB4,5244,"Colchicine,Silodosin,Etravirine","DB01394,DB06207,DB06414",True
ABCB5,340273,"Brentuximab vedotin,Bilastine,Naldemedine,Neratinib,Delafloxacin","DB08870,DB11591,DB11691,DB11828,DB11943",True
ABCB8,11194,Doxorubicin,DB00997,True
ABCC1,4363,"Cyclosporine,Glutathione,Indinavir,Conjugated estrogens,Indomethacin,Grepafloxacin,Progesterone,Zoledronic acid,Epirubicin,Ritonavir,Vincristine,Methotrexate,Vinblastine,Diclofenac,Ivermectin,Verapamil,Daunorubicin,Amprenavir,Lamivudine,Irinotecan,Etoposide,Mifepristone,Dactinomycin,Doxorubicin,Glyburide,Probenecid,Rifampicin,Ibuprofen,Atazanavir,Atorvastatin,Rosuvastatin,Sulfinpyrazone,Ofloxacin,Phenobarbital,Idarubicin,Mitoxantrone,Paclitaxel,Saquinavir,Docetaxel,Colchicine,Cholic Acid,Vandetanib,Abiraterone,Romidepsin,Saxagliptin,Vemurafenib,Cannabidiol,Acemetacin","DB00091,DB00143,DB00224,DB00286,DB00328,DB00365,DB00396,DB00399,DB00445,DB00503,DB00541,DB00563,DB00570,DB00586,DB00602,DB00661,DB00694,DB00701,DB00709,DB00762,DB00773,DB00834,DB00970,DB00997,DB01016,DB01032,DB01045,DB01050,DB01072,DB01076,DB01098,DB01138,DB01165,DB01174,DB01177,DB01204,DB01229,DB01232,DB01248,DB01394,DB02659,DB05294,DB05812,DB06176,DB06335,DB08881,DB09061,DB13783",True
ABCC10,89845,"Cyclosporine,Sildenafil,Tenofovir disoproxil,Gemcitabine,Vincristine,Methotrexate,Verapamil,Daunorubicin,Etoposide,Estradiol,Doxorubicin,Paclitaxel,Docetaxel,Estradiol acetate,Estradiol benzoate,Estradiol cypionate,Estradiol dienanthate,Estradiol valerate","DB00091,DB00203,DB00300,DB00441,DB00541,DB00563,DB00661,DB00694,DB00773,DB00783,DB00997,DB01229,DB01248,DB13952,DB13953,DB13954,DB13955,DB13956",True
ABCC11,85320,"Folic Acid,Conjugated estrogens,Indomethacin,Methotrexate,Probenecid","DB00158,DB00286,DB00328,DB00563,DB01032",True
ABCC2,1244,"Cyclosporine,Glutathione,Pravastatin,Reserpine,Indinavir,Lovastatin,Phenytoin,Clotrimazole,Conjugated estrogens,Tenofovir disoproxil,Indomethacin,Grepafloxacin,Sorafenib,Spironolactone,Cerivastatin,Ritonavir,Cisplatin,Vincristine,Methotrexate,Carbamazepine,Vinblastine,Ivermectin,Simvastatin,Verapamil,Tamoxifen,Mycophenolate mofetil,Daunorubicin,Furosemide,Lamivudine,Irinotecan,Etoposide,Sulfasalazine,Eprosartan,Quinidine,Norgestimate,Telmisartan,Ezetimibe,Ethinyl Estradiol,Lomefloxacin,Doxorubicin,Glyburide,Probenecid,Rifampicin,Atorvastatin,Fluvastatin,Rosuvastatin,Nifedipine,Sulfinpyrazone,Ofloxacin,Arsenic trioxide,Phenobarbital,Levetiracetam,Sparfloxacin,Paclitaxel,Saquinavir,Dexamethasone,Docetaxel,Sunitinib,Ursodeoxycholic acid,Cholic Acid,Pitavastatin,Canagliflozin,Avibactam,Eluxadoline,Letermovir","DB00091,DB00143,DB00175,DB00206,DB00224,DB00227,DB00252,DB00257,DB00286,DB00300,DB00328,DB00365,DB00398,DB00421,DB00439,DB00503,DB00515,DB00541,DB00563,DB00564,DB00570,DB00602,DB00641,DB00661,DB00675,DB00688,DB00694,DB00695,DB00709,DB00762,DB00773,DB00795,DB00876,DB00908,DB00957,DB00966,DB00973,DB00977,DB00978,DB00997,DB01016,DB01032,DB01045,DB01076,DB01095,DB01098,DB01115,DB01138,DB01165,DB01169,DB01174,DB01202,DB01208,DB01229,DB01232,DB01234,DB01248,DB01268,DB01586,DB02659,DB08860,DB08907,DB09060,DB09272,DB12070",True
ABCC3,8714,"Cyclosporine,Glutathione,Folic Acid,Clotrimazole,Conjugated estrogens,Indomethacin,Omeprazole,Cisplatin,Vincristine,Fluorouracil,Methotrexate,Verapamil,Lamivudine,Etoposide,Ezetimibe,Doxorubicin,Glyburide,Probenecid,Rifampicin,Nifedipine,Sulfinpyrazone,Phenobarbital,Cholic Acid","DB00091,DB00143,DB00158,DB00257,DB00286,DB00328,DB00338,DB00515,DB00541,DB00544,DB00563,DB00661,DB00709,DB00773,DB00973,DB00997,DB01016,DB01032,DB01045,DB01115,DB01138,DB01174,DB02659",True
