Node 1	Node 2	interaction_type	pathways	
hsa:1544	hsa:1553	compound irreversible	hsa00980	
hsa:1544	hsa:1553	compound irreversible	hsa00980	
hsa:1544	hsa:1553	compound irreversible	hsa00980	
hsa:1571	hsa:1553	compound irreversible	hsa00980	
hsa:119391 hsa:221357 hsa:27306 hsa:2938 hsa:2939 hsa:2940 hsa:2941 hsa:2944 hsa:2946 hsa:2947 hsa:2948 hsa:2949 hsa:2950 hsa:2952 hsa:2953 hsa:373156 hsa:4257 hsa:4258 hsa:4259 hsa:653689 hsa:9446	hsa:1553	compound irreversible	hsa00980	
hsa:1548	hsa:1553	compound irreversible	hsa00980	
hsa:1548	hsa:1553	compound irreversible	hsa00980	
hsa:1553	hsa:1548	compound irreversible	hsa00980	
hsa:1553	hsa:1548	compound irreversible	hsa00980	
hsa:1553	hsa:1543	compound irreversible	hsa00980	
hsa:1553	hsa:10720 hsa:10941 hsa:54490 hsa:54575 hsa:54576 hsa:54577 hsa:54578 hsa:54579 hsa:54600 hsa:54657 hsa:54658 hsa:54659 hsa:574537 hsa:7363 hsa:7364 hsa:7365 hsa:7366 hsa:7367 hsa:79799	compound irreversible	hsa00980	
hsa:1553	hsa:10720 hsa:10941 hsa:54490 hsa:54575 hsa:54576 hsa:54577 hsa:54578 hsa:54579 hsa:54600 hsa:54657 hsa:54658 hsa:54659 hsa:574537 hsa:7363 hsa:7364 hsa:7365 hsa:7366 hsa:7367 hsa:79799	compound irreversible	hsa00980	
hsa:1553	hsa:1576 hsa:1577	compound irreversible	hsa00980	
hsa:107987478 hsa:107987479 hsa:1564 hsa:1565	hsa:1553	compound irreversible	hsa00980	
hsa:2052	hsa:1553	compound irreversible	hsa00980	
hsa:1544	hsa:2052	compound irreversible	hsa00980	
hsa:1571	hsa:2052	compound irreversible	hsa00980	
hsa:1571	hsa:2052	compound irreversible	hsa00980	
hsa:1571	hsa:2052	compound irreversible	hsa00980	
hsa:2052	hsa:119391 hsa:221357 hsa:27306 hsa:2938 hsa:2939 hsa:2940 hsa:2941 hsa:2944 hsa:2946 hsa:2947 hsa:2948 hsa:2949 hsa:2950 hsa:2952 hsa:2953 hsa:373156 hsa:4257 hsa:4258 hsa:4259 hsa:653689 hsa:9446	compound irreversible	hsa00980	
hsa:2052	hsa:119391 hsa:221357 hsa:27306 hsa:2938 hsa:2939 hsa:2940 hsa:2941 hsa:2944 hsa:2946 hsa:2947 hsa:2948 hsa:2949 hsa:2950 hsa:2952 hsa:2953 hsa:373156 hsa:4257 hsa:4258 hsa:4259 hsa:653689 hsa:9446	compound irreversible	hsa00980	
hsa:2052	hsa:119391 hsa:221357 hsa:27306 hsa:2938 hsa:2939 hsa:2940 hsa:2941 hsa:2944 hsa:2946 hsa:2947 hsa:2948 hsa:2949 hsa:2950 hsa:2952 hsa:2953 hsa:373156 hsa:4257 hsa:4258 hsa:4259 hsa:653689 hsa:9446	compound irreversible	hsa00980	
hsa:2052	hsa:119391 hsa:221357 hsa:27306 hsa:2938 hsa:2939 hsa:2940 hsa:2941 hsa:2944 hsa:2946 hsa:2947 hsa:2948 hsa:2949 hsa:2950 hsa:2952 hsa:2953 hsa:373156 hsa:4257 hsa:4258 hsa:4259 hsa:653689 hsa:9446	compound irreversible	hsa00980	
