Gene,Gene ID,SNP rs,Chromosome,Location,Population,PubMed,Context,P-Value
AC004805.1,NaN,9915454,17,65633120,European,29608257,intron_variant,0.000005
AC005165.1,646588,12700667,7,25862019,"European,East Asian|European,European, East Asian","21151130,23104006,28333195,28537267","intergenic,intergenic_variant","1e-09,4e-09,6e-07,2e-09,9e-10,2e-08"
AC005871.1,NaN,855965,10,117684248,European,28333195,intergenic_variant,0.0000004
AC007422.2,NaN,"4141819,6546324",2,"67637543,67629358","East Asian|European,European, East Asian","23104006,28537267","intergenic,intron_variant","9e-08,3e-08,3e-07"
AC008940.1,NaN,62355900,5,56756868,European,28881265,regulatory_region_variant,0.00000005
AC010719.1,NaN,12700667,7,25862019,"European,East Asian|European,European, East Asian","21151130,23104006,28333195,28537267","intergenic,intergenic_variant","1e-09,4e-09,6e-07,2e-09,9e-10,2e-08"
AC024681.2,NaN,16901004,8,125958758,European,28881265,intergenic_variant,0.0000009
AC091730.1,NaN,7781172,7,49030398,European,28881265,intergenic_variant,0.000001
AC091804.1,NaN,113850637,3,104131556,European,28333195,intergenic_variant,0.0000008
AC092422.1,NaN,6782972,3,24922859,European,29608257,intron_variant,0.000000003
AC093840.1,NaN,11132055,4,181401652,European,28881265,intergenic_variant,0.00000008
AC097486.1,NaN,1432089,4,170869637,European,28881265,intergenic_variant,0.00000006
AC099671.1,NaN,12024204,1,79777316,European,21151130,intergenic,0.000006
AC106799.3,NaN,458649,5,4269377,European,28881265,intergenic_variant,0.000006
AC113137.1,NaN,12455952,18,61173285,European,28333195,intergenic_variant,0.000001
ADH5P2,343296,12024204,1,79777316,European,21151130,intergenic,0.000006
AGBL4,84871,1128934,1,48758912,European,28881265,missense_variant,0.0000006
AL022068.1,100506885,"7739264,6908034,760794",6,"19785357,19773699,19790329","East Asian|European,European,European, East Asian","23104006,28333195,28537267","intergenic,intron_variant","4e-10,5e-07,7e-07,2e-10,7e-08"
AL137190.1,NaN,71415016,14,95977621,European,28333195,intergenic_variant,0.0000003
AL137191.1,NaN,10129516,14,63133372,European,28881265,intergenic_variant,5E-16
AL157937.1,NaN,"7041895,1537377",9,"22162795,22169701","European,European, East Asian","28333195,28537267","regulatory_region_variant,intergenic_variant","1e-07,1e-10,2e-08"
AL163953.1,NaN,1380131,14,53606140,European,28881265,intron_variant,0.000009
AL358944.1,NaN,74485684,11,30220740,"European, East Asian",28537267,intergenic_variant,"2e-08,3e-08"
AL365295.1,NaN,1380131,14,53606140,European,28881265,intron_variant,0.000009
AL390334.1,728755,10131751,14,28212010,European,28881265,intergenic_variant,0.0000009
