name	symbol	drugs	ID	ADME	target	dbsnp	mutype	tag	clinvarID	clinvar_clnsig	primary	SNP rs	Chromosome	Location	Population	PubMed	Context	P-Value	disease	NºDrogas	Nº Variantes	Tipo Gen	
hsa:6387	CXCL12	Tinzaparin	DB06822		None	rs1801157	regulatory	DFP			None	10508881	10	44046117	European	23472165	intergenic	0.0000004	True	1	1	D	
hsa:5971&hsa:4791	[NFKB2]	Acetylsalicylic acid	DB00945		True	rs397514331,rs727502786,rs397514332,rs727502787,rs727502788,rs748910652	frameshift,nonsense,missense	DM	65386,155764,65385,155765,155766	Pathogenic	None	None	None	None	None	None	None	None	None	1	6	T	
hsa:1558 hsa:1573	[CYP2C8][CYP2J2]	Cyclosporine,Pravastatin,Nicotine,Caffeine,Pyrimethamine,Lovastatin,Phenytoin,Diethylstilbestrol,Clotrimazole,Theophylline,Lidocaine,Morphine,Valproic Acid,Acetaminophen,Amitriptyline,Methadone,Omeprazole,Terfenadine,Diltiazem,Trimethadione,Clozapine,Mirtazapine,Amlodipine,Progesterone,Sorafenib,Eszopiclone,Rosiglitazone,Secobarbital,Spironolactone,Cerivastatin,Trimethoprim,Chloramphenicol,Lansoprazole,Levothyroxine,Loratadine,Quinine,Montelukast,Raloxifene,Celecoxib,Zidovudine,Cimetidine,Ritonavir,Dextromethorphan,Erlotinib,Cyclophosphamide,Rofecoxib,Fluorouracil,Zafirlukast,Piroxicam,Carbamazepine,Diclofenac,Medroxyprogesterone acetate,Cisapride,Chloroquine,Paramethadione,Nicardipine,Testosterone,Efavirenz,Simvastatin,Dextropropoxyphene,Verapamil,Nilutamide,Tamoxifen,Losartan,Thioridazine,Warfarin,Mycophenolate mofetil,Amprenavir,Delavirdine,Paroxetine,Hydrocortisone,Carbinoxamine,Tretinoin,Clopidogrel,Mometasone,Etoposide,Estradiol,Mefenamic acid,Naproxen,Candesartan cilexetil,Meloxicam,Propofol,Diazepam,Brompheniramine,Loperamide,Perphenazine,Terbinafine,Triazolam,Cocaine,Quinidine,Repaglinide,Metronidazole,Almotriptan,Buprenorphine,Salmeterol,Acetylsalicylic acid,Phenprocoumon,Isoniazid,Azelastine,Ethinyl Estradiol,Tioconazole,Ketoprofen,Sulfamethoxazole,Felodipine,Ketoconazole,Probenecid,Selegiline,Fenofibrate,Rifampicin,Ibuprofen,Oxybutynin,Atorvastatin,Tegaserod,Fluvastatin,Nifedipine,Amiodarone,Tolbutamide,Rabeprazole,Pioglitazone,Sulfinpyrazone,Bupropion,Phenobarbital,Ifosfamide,Propafenone,Naloxone,Domperidone,Zopiclone,Rifapentine,Halofantrine,Ketamine,Paclitaxel,Saquinavir,Dexamethasone,Gemfibrozil,Lapatinib,Sitagliptin,Fosphenytoin,Bezafibrate,Colchicine,Antipyrine,Liotrix,Lopinavir,Topiroxostat,Palmitic Acid,Nilotinib,Belinostat,Crisaborole,Abiraterone,Pazopanib,Midostaurin,Apixaban,Sulfaphenazole,Ketobemidone,Seratrodast,Cabazitaxel,Vismodegib,Pitavastatin,Regorafenib,Enzalutamide,Ponatinib,Dabrafenib,Levomilnacipran,Perospirone,Riociguat,Vortioxetine,Olodaterol,Lumacaftor,Ombitasvir,Propoxyphene napsylate,Selexipag,Isavuconazole,Apalutamide,Voxilaprevir,Letermovir,Rucaparib,Troleandomycin,Enasidenib,Testosterone cypionate,Testosterone enanthate,Testosterone undecanoate,Estradiol acetate,Estradiol benzoate,Estradiol cypionate,Estradiol dienanthate,Estradiol valerate,Astemizole,Rivaroxaban	DB00091,DB00175,DB00184,DB00201,DB00205,DB00227,DB00252,DB00255,DB00257,DB00277,DB00281,DB00295,DB00313,DB00316,DB00321,DB00333,DB00338,DB00342,DB00343,DB00347,DB00363,DB00370,DB00381,DB00396,DB00398,DB00402,DB00412,DB00418,DB00421,DB00439,DB00440,DB00446,DB00448,DB00451,DB00455,DB00468,DB00471,DB00481,DB00482,DB00495,DB00501,DB00503,DB00514,DB00530,DB00531,DB00533,DB00544,DB00549,DB00554,DB00564,DB00586,DB00603,DB00604,DB00608,DB00617,DB00622,DB00624,DB00625,DB00641,DB00647,DB00661,DB00665,DB00675,DB00678,DB00679,DB00682,DB00688,DB00701,DB00705,DB00715,DB00741,DB00748,DB00755,DB00758,DB00764,DB00773,DB00783,DB00784,DB00788,DB00796,DB00814,DB00818,DB00829,DB00835,DB00836,DB00850,DB00857,DB00897,DB00907,DB00908,DB00912,DB00916,DB00918,DB00921,DB00938,DB00945,DB00946,DB00951,DB00972,DB00977,DB01007,DB01009,DB01015,DB01023,DB01026,DB01032,DB01037,DB01039,DB01045,DB01050,DB01062,DB01076,DB01079,DB01095,DB01115,DB01118,DB01124,DB01129,DB01132,DB01138,DB01156,DB01174,DB01181,DB01182,DB01183,DB01184,DB01198,DB01201,DB01218,DB01221,DB01229,DB01232,DB01234,DB01241,DB01259,DB01261,DB01320,DB01393,DB01394,DB01435,DB01583,DB01601,DB01685,DB03796,DB04868,DB05015,DB05219,DB05812,DB06589,DB06595,DB06605,DB06729,DB06738,DB06739,DB06772,DB08828,DB08860,DB08896,DB08899,DB08901,DB08912,DB08918,DB08922,DB08931,DB09068,DB09080,DB09280,DB09296,DB09396,DB11362,DB11633,DB11901,DB12026,DB12070,DB12332,DB13179,DB13874,DB13943,DB13944,DB13946,DB13952,DB13953,DB13954,DB13955,DB13956,DB00637,DB06228	True	True	rs72558196,rs1058930	frameshift,missense	DM,DP			True	None	None	None	None	None	None	None	None	187	2	T	
hsa:246 hsa:247	[ALOX15]	Resveratrol,Cannabidiol	DB02709,DB09061	True	True	rs34210653,rs113604586,rs2255888	missense,regulatory	DFP,DM?			None	None	None	None	None	None	None	None	None	2	3	T	
hsa:257202 hsa:2876 hsa:2877 hsa:2878 hsa:2880 hsa:2882 hsa:493869	[GPX1][GPX2][GPX3][GPX5][GPX6][GPX7][GPX8]	Glutathione,Cannabidiol	DB00143,DB09061	True,	True	rs1050450,rs8179169,rs1436141275,,rs381852	gross,missense	DP,DFP,DM?	16082,	Benign,	None	None	None	None	None	None	None	None	None	2	5	T	
hsa:644 hsa:645	[BLVRA][BLVRB]	NADH,Riboflavin	DB00157,DB00140		True	rs387906595,rs699512	nonsense,missense	DM,DP	29612,29613	Pathogenic	None	None	None	None	None	None	None	None	None	2	2	T	
hsa:10720 hsa:10941 hsa:54490 hsa:54575 hsa:54576 hsa:54577 hsa:54578 hsa:54579 hsa:54600 hsa:54657 hsa:54658 hsa:54659 hsa:574537 hsa:7363 hsa:7364 hsa:7365 hsa:7366 hsa:7367 hsa:79799	[UGT1A1][UGT1A10][UGT1A3][UGT1A4][UGT1A6][UGT1A7][UGT1A8][UGT1A9][UGT2B15][UGT2B17][UGT2B4][UGT2B7]	Lovastatin,Morphine,Acetaminophen,Indomethacin,Sorafenib,Erlotinib,Diclofenac,Simvastatin,Losartan,Mycophenolate mofetil,Naltrexone,Flurbiprofen,Irinotecan,Etoposide,Estradiol,Naproxen,Propofol,Suprofen,Ezetimibe,Rifampicin,Ibuprofen,Atorvastatin,Fluvastatin,Testosterone propionate,Nilotinib,Ezogabine,Indacaterol,Pazopanib,Axitinib,Regorafenib,Dolutegravir,Bictegravir,Ertugliflozin,Delafloxacin,Letermovir,Rucaparib,Enasidenib,Estradiol acetate,Estradiol benzoate,Estradiol cypionate,Estradiol dienanthate,Estradiol valerate,Valproic Acid,Tamoxifen,Etodolac,Cyproheptadine,Lamotrigine,Candesartan cilexetil,Mitiglinide,Nalmefene,Ambrisentan,Pitavastatin,Naldemedine,Clozapine,Midazolam,Trifluoperazine,Asenapine,Imidafenacin,Diflunisal,Isavuconazole,Human Serum Albumin,Hydromorphone,Haloperidol,Valdecoxib,Nateglinide,Zileuton,Oxazepam,Buprenorphine,Sulfamethoxazole,Lumiracoxib,Topiroxostat,Niflumic Acid,Phenolphthalein,Tapentadol,Dapagliflozin,Dabigatran etexilate,Ketobemidone,Seratrodast,Canagliflozin,Codeine,Epirubicin,Zidovudine,Carbamazepine,Silodosin,Acemetacin	DB00227,DB00295,DB00316,DB00328,DB00398,DB00530,DB00586,DB00641,DB00678,DB00688,DB00704,DB00712,DB00762,DB00773,DB00783,DB00788,DB00818,DB00870,DB00973,DB01045,DB01050,DB01076,DB01095,DB01420,DB04868,DB04953,DB05039,DB06589,DB06626,DB08896,DB08930,DB11799,DB11827,DB11943,DB12070,DB12332,DB13874,DB13952,DB13953,DB13954,DB13955,DB13956,DB00313,DB00675,DB00749,DB00434,DB00555,DB00796,DB01252,DB06230,DB06403,DB08860,DB11691,DB00363,DB00683,DB00831,DB06216,DB09262,DB00861,DB11633,DB00062,DB00327,DB00502,DB00580,DB00731,DB00744,DB00842,DB00921,DB01015,DB01283,DB01685,DB04552,DB04824,DB06204,DB06292,DB06695,DB06738,DB06739,DB08907,DB00318,DB00445,DB00495,DB00564,DB06207,DB13783	True	True		gross	DM?			True	None	None	None	None	None	None	None	None	85	1	T	
hsa:5578 hsa:5579 hsa:5582	[PRKCA]	Tamoxifen,Midostaurin	DB00675,DB06595		True	rs1488704782,rs35476409,rs373125854,rs776118914,rs779586057,rs34406842,rs141376042,rs151214307	inframe,gross,noncoding,frameshift,missense,regulatory	DM?,DFP,DM			None	None	None	None	None	None	None	None	None	2	8	T	
hsa:773	CACNA1A	Pregabalin,Verapamil,Loperamide,Bepridil,Calcium Citrate,Calcium Phosphate	DB00230,DB00661,DB00836,DB01244,DB11093,DB11348	,True	True	rs587776695,rs1064794262,rs965852937,rs763941704,rs886041279,rs786200962,rs587776692,rs587776694,rs746790849,rs770648017,rs764972478,rs121908219,rs121908233,rs121908222,rs121908223,rs121908220,rs121908221,rs121908224,rs267606696,rs121908227,rs121908226,rs121908225,rs121908228,rs121908236,rs121908230,rs121908231,rs121908232,rs121908234,rs121908235,rs121908229,rs121909326,rs121908247,rs1064794263,rs41276886,rs1164174661,rs121908238,rs121908246,rs1057520918,rs16024,rs121908239,rs121908241,rs121908242,rs121908243,rs121908244,rs121908240,rs121908245,rs1033214914,rs371595464,rs755107633,rs16027,rs199886234,rs1064794261,rs886037945,rs1057518779,rs374063403,rs863224852,rs771682941,rs1064794808,rs1168625480,rs1013100046,rs886037944,rs886037946,rs561858384,rs794727411,rs867616569,rs960396840,rs794727558,rs1189054127,rs1057519429,rs778551911,rs1355062450,rs1064795643,rs1432354078,rs760816963,rs751947412,rs16019,rs1064797232,rs121908211,rs121908212,rs121908213,rs121908214,rs121908215,rs121909323,rs121908218,rs121908216,rs121908217,rs121908237,rs121909324,rs1157003000,rs1315533129,rs587776693	frameshift,inframe,noncoding,gross,missense,nonsense,canonical-splice,splice	DM,DM?,DFP	8502,420056,420054,279951,187828,434558,434556,8491,8501,419931,8499,8498,68439,68429,68433,68435,68436,8509,8508,8500,8504,68442,8511,8513,68443,68430,68431,68440,68437,8510,68432,420057,68420,68441,68422,380972,194928,68418,68424,68425,68434,68438,68421,68419,286691,68428,381583,420055,448996,254268,373933,446936,216896,420945,476264,254267,254269,392083,195935,196769,375366,387200,446937,422231,446927,423150,451126,128547,425162,210556,434561,8487,8488,8489,8490,8496,8506,68423,8495,8505,8503,8507,8492	Pathogenic,Uncertain_significance,Conflicting_interpretations_of_pathogenicity,not_provided,Likely_pathogenic,Pathogenic/Likely_pathogenic,Benign/Likely_benign	True	11085835	19	13221196	European	28881265	intron_variant	0.0000003	True	6	91	TD	
hsa:2902 hsa:2903 hsa:2904 hsa:2905 hsa:2906	[GRIN1][GRIN2A][GRIN2B][GRIN2C][GRIN2D][GRIN2D]	Atomoxetine,Pentobarbital,Secobarbital,Pethidine,Gabapentin,Memantine,Orphenadrine,Phenobarbital,Prasterone,Milnacipran,Acetylcysteine,Ketobemidone,Fluciclovine (18F),Felbamate,Halothane,Haloperidol,Glutamic Acid	DB00289,DB00312,DB00418,DB00454,DB00996,DB01043,DB01173,DB01174,DB01708,DB04896,DB06151,DB06738,DB13146,DB00949,DB01159,DB00502,DB00142		True	rs387906635,rs878853143,rs1060500046,rs797044925,rs869312865,rs1451230055,rs1131691870,rs797045047,rs1064797355,rs1131691590,rs796052560,rs886042168,rs886039604,rs387906637,rs397518447,rs397514557,rs397518450,rs796052543,rs397518468,rs397518466,rs397518472,rs761168789,rs886039239,rs397518467,rs1250662891,rs587780353,rs199528312,rs780654733,rs1360906241,rs397518470,rs796052549,rs762659685,rs933322445,rs397518471,rs568484876,rs145063086,rs757351084,rs796052551,rs777684328,rs869312916,rs796052548,rs796052552,rs796052545,rs145956175,rs901717931,rs779989663,rs886043129,rs869312681,rs149698593,rs747838255,rs1085307961,rs796052544,rs796052550,rs796052547,rs397518465,rs397518469,rs1060499526,rs796052578,rs876661102,rs876661022,rs398122823,rs7301328,rs1806201,rs387906636,rs397514556,rs397514555,rs398122825,rs749655702,rs527236034,rs672601376,rs672601377,rs672601378,rs774592932,rs879253931,rs796052571,rs796052570,rs796052572,rs797044930,rs869312868,rs1060499659,rs797044849,rs1057518988,rs1057519004,rs876661055,rs1057518700,rs796052583,rs886041295,rs796052582,rs876661041,rs876661064,rs876661167,rs876661219,rs864309560,rs1064794979,rs201463390,rs869312669,rs1135401799,rs1057518800,rs876661076,rs1019385,rs3764028,rs1057519611,rs1057519612,rs398122824,rs886040861	inframe,missense,nonsense,frameshift,gross,initiation,synonymous,canonical-splice,noncoding,regulatory	DM,DM?,DFP,DP	29726,29725,235846,487501,487500,403957,487502,208743,224815,487505,487506,487504,487503,430264,487508,209159,435376,425473,429784,205685,281462,265532,29732,29733,39662,39663,205650,88730,88728,88734,264707,88729,129189,205645,411291,88732,205657,205656,88733,205679,205680,205659,224990,205655,205652,205649,285528,488524,98449,224108,205687,427106,205658,464051,205654,372911,422235,88727,88731,29729,205721,234587,234441,430527,129205,98437,29730,39661,39658,39660,143189,162085,162086,162087,489393,391757,245756,205710,208749,224818,397525,208643,374226,374243,234500,374327,279975,234479,234668,234527,234635,234696,234790,218471,245960,421209,280553,224086,431127,373959,234546,268209,29728,29731,39659,267211	Pathogenic,Pathogenic/Likely_pathogenic,Likely_pathogenic,Uncertain_significance,Likely_benign,Conflicting_interpretations_of_pathogenicity,not_provided,Benign/Likely_benign	True	10419023	19	48427965	European	28881265	intron_variant	0.0000006	True	17	105	TD	
